Fecha,Consumo_diario_m3,Temperatura_media_°C,Precipitación_mm,Humedad_relativa_%,Día_semana,Eventos_especiales,Nivel_reservorio_metros,Población_sector,Tarifa_agua,Racionamiento_previo,Racionamiento_necesario
2020-01-01,3355,38.06552964572347,13.02652581305242,70.07076123791265,2,0,6.10930952729742,5214,1.7450465994567101,0,0
2020-01-02,2786,17.988547330768405,0.8417454554363313,70.85812463483745,3,0,5.384318929650753,13531,0.7321898154985489,0,0
2020-01-03,1936,29.570977137601396,14.405391280682394,37.59424169478563,4,0,14.599606573139667,12474,0.8085033082707433,1,0
2020-01-04,4521,25.714503208977263,13.141185567882381,44.82067669713912,5,1,12.019916297033859,6862,0.8253085767562917,1,0
2020-01-05,2569,20.660371380326133,5.8930541781636965,70.92073107947024,6,0,6.827286952842617,12178,1.5222458854789953,0,0
2020-01-06,1100,26.807239980734778,10.148852349980814,65.4700739360789,0,0,8.573526344810691,10437,1.1387562381357417,1,0
2020-01-07,2971,16.35671346163472,0.6616045304733276,60.93123936477623,1,1,9.691090235620493,14939,0.6248002112834135,1,0
2020-01-08,2077,18.547183538082816,11.37683396656422,76.42240245347675,2,0,6.645416989051447,8246,1.7177263315752698,1,0
2020-01-09,2560,17.446001880465154,12.865980121073065,39.82217230385439,3,0,11.07474312082799,13297,1.5858888530402295,1,0
2020-01-10,4539,37.469208687933474,17.17136245028876,54.43138053046669,4,0,5.2209536747091665,6163,1.322735553069145,1,1
2020-01-11,3195,39.34717484598491,19.725659533688816,66.66064966713726,5,0,9.150388887046281,14347,0.7976150132254829,1,0
2020-01-12,3505,29.070108251599635,19.050127868486776,71.40559109231924,6,1,7.8106589951461665,13937,1.5326897874119068,0,0
2020-01-13,3656,32.57271228175168,16.205258547472067,46.73743368530553,0,0,9.519308724009933,9036,1.2715845432372168,1,0
2020-01-14,2455,35.10791954615971,2.2483967477403666,68.5169818064824,1,0,11.460358812888186,12896,0.781679111170259,0,0
2020-01-15,1658,36.12351660929431,11.428147746235718,64.65654873540758,2,0,6.559305728052149,8328,1.4226995497670774,1,0
2020-01-16,3426,31.987668211762045,14.394125634265489,54.295108028112494,3,0,8.529875036361556,10357,1.3656866971395776,0,0
2020-01-17,3952,24.650643994709885,15.846558934745065,37.54671507757199,4,1,9.716559041612784,5618,1.6149271496231383,1,0
2020-01-18,1967,20.062624803251275,17.02874219552897,37.72187731266742,5,0,11.332357322814437,7405,1.5795085395826198,1,0
2020-01-19,2045,35.00157598674211,5.1143947218260415,78.90606364047832,6,0,9.87461271082391,14027,1.7692265329763144,0,0
2020-01-20,1978,23.852910422603163,0.34722357844974905,44.274486639660935,0,0,7.23814669977311,10277,1.722583835721938,0,0
2020-01-21,4566,27.719831069936767,8.645638762574198,67.44922489671617,1,0,6.9301370232085615,7141,1.881411416355209,0,1
2020-01-22,2353,17.77474503913639,5.279854953270233,33.84500180710891,2,1,7.4048042252435025,6690,1.8552513045515426,0,0
2020-01-23,1230,38.79027178766938,4.89237776591983,67.30235489628856,3,0,11.666974051700585,11336,1.5842555418881934,1,0
2020-01-24,4924,26.501851279694115,17.052117657361492,68.29784127391424,4,1,7.92527518099352,13129,1.6976753555824857,0,0
2020-01-25,2626,19.826974911010254,3.282780798955216,74.45608612400528,5,0,5.047042303729633,11699,1.6973603452986394,0,0
2020-01-26,3863,16.422527164566485,12.703297162110767,38.02680623737902,6,0,5.035455583842649,6725,0.5007393876913375,0,0
2020-01-27,3593,25.29993849398149,8.518170280301756,38.117235358161,0,1,11.165758947225173,7765,1.9699842430888608,1,0
